WARNING 2023-08-01 15:18:22,466 basehttp basehttp.py: 161 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:22,466 basehttp basehttp.py: 161 "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:22,466 basehttp basehttp.py: 161 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:22,468 log log.py: 224 Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2023-08-01 15:18:22,468 basehttp basehttp.py: 161 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:22,470 log log.py: 224 Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2023-08-01 15:18:22,470 basehttp basehttp.py: 161 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:22,470 log log.py: 224 Not Found: /static/rest_framework/js/default.js
WARNING 2023-08-01 15:18:22,471 basehttp basehttp.py: 161 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:22,472 basehttp basehttp.py: 161 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:22,473 basehttp basehttp.py: 161 "GET /static/rest_framework/js/default.js HTTP/1.1" 404 179
INFO 2023-08-01 15:18:26,746 basehttp basehttp.py: 161 "GET /menu/? HTTP/1.1" 200 11122
WARNING 2023-08-01 15:18:26,798 log log.py: 224 Not Found: /static/rest_framework/css/bootstrap.min.css
WARNING 2023-08-01 15:18:26,800 basehttp basehttp.py: 161 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:26,804 log log.py: 224 Not Found: /static/rest_framework/css/bootstrap-tweaks.css
WARNING 2023-08-01 15:18:26,806 log log.py: 224 Not Found: /static/rest_framework/css/prettify.css
WARNING 2023-08-01 15:18:26,807 log log.py: 224 Not Found: /static/rest_framework/css/default.css
WARNING 2023-08-01 15:18:26,810 log log.py: 224 Not Found: /static/rest_framework/js/jquery-3.5.1.min.js
WARNING 2023-08-01 15:18:26,811 log log.py: 224 Not Found: /static/rest_framework/js/ajax-form.js
WARNING 2023-08-01 15:18:26,814 log log.py: 224 Not Found: /static/rest_framework/js/csrf.js
WARNING 2023-08-01 15:18:26,815 basehttp basehttp.py: 161 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:26,815 basehttp basehttp.py: 161 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:26,815 basehttp basehttp.py: 161 "GET /static/rest_framework/css/default.css HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:26,816 basehttp basehttp.py: 161 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:26,816 basehttp basehttp.py: 161 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:26,816 basehttp basehttp.py: 161 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 404 179
WARNING 2023-08-01 15:18:26,817 log log.py: 224 Not Found: /static/rest_framework/js/bootstrap.min.js
WARNING 2023-08-01 15:18:26,818 log log.py: 224 Not Found: /static/rest_framework/js/prettify-min.js
WARNING 2023-08-01 15:18:26,820 log log.py: 224 Not Found: /static/rest_framework/js/default.js
